GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Notification Service,com.banking.notification,NotificationServiceApplication,8,0,0,0,3,0,2,0,2,0
Notification Service,com.banking.notification.service,NotificationService,0,25,1,1,0,6,1,4,0,4
Notification Service,com.banking.notification.entity,Notification,37,41,0,0,11,13,11,8,11,8
Notification Service,com.banking.notification.controller,NotificationController,26,0,0,0,7,0,4,0,4,0
